Finance State,State ID,Description,Access Level Summary,Work item ?,Department,Automated exit?,Associated Payments,Entry Trigger,Exit Trigger,Notes
Active,FIN-01,"Entry state after deposit received from Lead. Account in good standing, all payments up to date.",Full,No,Not applicable,Both,All,"Initial (deposit from Lead), Payment_Pending (caught up), Delinquent (caught up)","Payment_Pending (missed payment), Payment_Complete (final payment)",PRIMARY ENTRY STATE. Finance state machine starts here after deposit is paid.
Payment Pending,FIN-02,Payment missed/overdue (within grace period). NOT an initial state - means scheduled payment was missed.,Partial Back,Yes,Not applicable,Yes,All,"Active (payment missed), Balance_Pending (overdue), Credit_Application_Pending (admin decision), Credit_Approved (funding not received after X days), Credit_Rejected (after X days), Credit_Pending (admin decision), Delinquent (resumes payments)","Active (payment received), Payment_Complete (final payment), Delinquent (overdue > X days), Refund_Pending (admin decision), Collection_Pending (admin decision), Cancelled (admin decision)",KEY CHANGE: Not an entry state. Only reached when payment is missed.
Delinquent,FIN-03,Payment significantly overdue (> X days). Collections warnings active. Account at risk of escalation.,Blocked,Yes,Customer Service,No,All,Payment_Pending (threshold exceeded),"Payment_Pending (resumes payments), Refund_Pending (refund path), Collection_Pending (collection path), Cancelled (direct, if no refund/collection needed)",Time continues to accrue in this state
Collection Pending,FIN-04,Account in formal collections. All access blocked. Handed off to interim/bank for processing.,Blocked,Yes,Finance,No,All,"Payment_Pending (admin decision), Delinquent (collection path)",Collection_Processing (handed off to interim team/bank),"Now goes to Collection_Processing (interim/bank), then Cancelled. ALL outcomes go to Cancelled via Collection_Processing."
Collection Processing,FIN-10,Collection handed off to interim team or bank; processing in progress (payment being processed and/or debt actively pursued). Same access as Collection_Pending.,Blocked,Yes,Finance,No,All,"Collection_Pending (handed off), Credit_Rejected (collections path)","Cancelled (settled with fee, or unsettled)",Interim state. Payment processing and/or debt actively pursued by interim team or bank.
Refund Pending,FIN-06,"Refund approved, awaiting handoff to interim/bank. Account is in the process of being closed.",Partial Back,Yes,Finance,,All,"Payment_Pending (admin decision), Delinquent (refund path), Payment_Complete (rare: post-completion refund)","Refund_Processing (handed off to interim/bank), Active (refund reversed/denied), Complete (refund reversed/denied), Payment_Pending (refund reversed/denied), Delinquent (refund reversed/denied)","Now goes to Refund_Processing (interim/bank), then Cancelled. Refund_Processing → Refund_Pending by Finance only. Refund tracked via refund_issued on Cancelled."
Refund Processing,FIN-09,Refund handed off to interim team or bank; processing in progress (including instant refunds). Same access as Refund_Pending.,Partial Back,Yes,Finance,,All,"Refund_Pending (handed off), Credit_Rejected (refund path)","Cancelled (refund completed), Refund_Pending (reversed by Finance team only)",Interim state. Refund_Processing → Refund_Pending may only be performed by Finance team.
Credit Pending,FIN-05,"Third-party finance application submitted, awaiting funding. Alternative entry state to Active.",Full,No,Not applicable,Yes,Premium Credit,"Credit_Application_Pending (credit application submitted), Credit_Rejected (resubmitted via 3rd party API)","Credit_Approved (approved), Credit_Rejected (declined), Payment_Pending (student self-pay / admin decision)",Premium Credit path. Now entered from Loan_Application_Pending (not directly from Lead).
Cancelled,FIN-08,"Account terminated and closed. Encompasses ALL termination types: refunds, collections, credit failures, withdrawals.",Partial,No,Not applicable,No,All,"Refund_Processing (completed), Collection_Processing (settled/unsettled), Payment_Pending (admin decision), Delinquent (direct close)",None (terminal),"KEY CHANGE: Consolidated Refunded state into Cancelled. Use refund_issued property to distinguish. Track: refund_issued, settlement_status, cancellation_reason, cancellation_date"
Payment Complete,FIN-07,All financial obligations fulfilled. Student has fully paid for their course package. Terminal state for successful completion.,Full,No,Not applicable,No,All,"Active (final payment), Credit_Approved (funded), Balance_Pending (balance paid), Payment_Pending (final payment)",Refund_Pending (rare: post-completion refund),KEY CHANGE: Added Active → Complete path for direct final payment.
Credit Application Pending,FIN-11,Entry state for Premium Credit path after deposit. Student preparing/submitting credit application.,Full,No,Finance,Yes,Premium Credit,"Initial (deposit from Lead, Premium Credit path)","Credit_Pending (loan submitted), Payment_Pending (admin decision)",ENTRY STATE for Premium Credit. Goes to Credit_Pending when credit application is submitted.
Balance Pending,FIN-12,Entry state for Bank Transfer/Direct Deposit full payment after deposit. Awaiting balance payment.,Full,Yes,Finance,No,"Direct Debit, Bank Transfer","Initial (deposit from Lead, bank transfer/direct deposit full payment path)","Payment_Complete (balance paid), Payment_Pending (overdue)",ENTRY STATE for bank transfer/direct deposit full payment. Balance of course package remaining after deposit.
Credit Rejected,FIN-13,Third-party finance application declined. Student has full access while determining next steps.,Full,No,Not applicable,Yes,Premium Credit,Credit_Pending (application declined),"Credit_Approved (re-approved via 3rd party API), Credit_Pending (resubmitted via 3rd party API), Payment_Pending (after X days, automated)","Loan application rejected. Student can choose refund path, collections path, or direct closure if $0 involved."
Credit Approved,FIN-14,"Credit/loan application approved, awaiting funding from loan company.",Full,No,Not applicable,Yes,Premium Credit,"Credit_Pending (loan approved), Credit_Rejected (re-approved via 3rd party API)","Payment_Complete (funded successfully), Payment_Pending (funding not received after X days)","Credit approved, awaiting funding. Can exit to Payment_Pending if funding not received."
